,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
170,Unnamed Paulsen Rd Strm US Porangahau/Otutatahi,174,6,2345.76,8172845,980,0,81,28,123,1,POINT (1884878 5561303.4),980
171,Unnamed Paulsen Rd Strm US Porangahau/Otutatahi_gaugings,175,6,2345.76,8172845,980,0,81,28,123,1,POINT (1884878 5561303.4),980
172,Unnamed Seeforth Trib US Maharakeke Strm,176,7,2522.88,8172683,1225,0,79,42,153,17,POINT (1892009.5 5561980.8),1225
173,Unnamed Seeforth Trib US Maharakeke Strm_gaugings,177,7,2522.88,8172683,1225,0,79,42,153,17,POINT (1892009.5 5561980.8),1225
174,Waipawa River 1.1km U/S SH50 Br,178,2,320284.80000000005,8166473,1602,0,42,49,223,3,POINT (1895313.5 5581030.4),1602
175,Waipawa River 2.6Km U/S Stockade Rd,179,12,108656.64000000001,8168547,1617,0,50,55,225,6,POINT (1898416.7 5576627.9),1617
176,Waipawa River 2.6Km U/S Stockade Rd_gaugings,180,12,108656.64000000001,8168547,1617,0,50,55,225,6,POINT (1898416.7 5576627.9),1617
177,Waipawa River D/S Makaroro,181,10,370915.20000000007,8164719,1466,0,31,26,196,1,POINT (1883604.2 5586431.3),1466
178,Waipawa River D/S Makaroro_gaugings,182,10,370915.20000000007,8164719,1466,0,31,26,196,1,POINT (1883604.2 5586431.3),1466
179,Waipawa River at Above Lindsay Water R,183,24,323308.80000000005,8164867,1478,0,34,33,199,4,POINT (1887507.2 5584831.2),1478
180,Waipawa River at Distribution Line Xing,184,10,167875.2,8168547,1615,0,49,54,225,4,POINT (1898116.3 5577228.2),1615
181,Waipawa River at End Caldwell Road,185,8,260802.72000000003,8165419,1510,0,35,41,205,1,POINT (1890909.7 5584131.6),1510
182,Waipawa River at End Plantation Road,186,38,244684.80000000002,8167002,1608,0,45,52,224,1,POINT (1896714.9 5579229.4),1608
183,Waipawa River at End Stockade Road,187,33,58320.00000000001,8168547,1625,0,53,61,225,14,POINT (1901219 5575027.2),1625
184,Waipawa River at End Stockade Road_gaugings,188,33,58320.00000000001,8168547,1625,0,53,61,225,14,POINT (1901219 5575027.2),1625
185,Waipawa River at End Stopbank,189,2,309916.80000000005,8166473,1604,0,43,50,223,5,POINT (1896114.3 5580330.1),1604
186,Waipawa River at Fletchers Crossing,190,18,112786.56,8164387,1397,0,31,24,179,1,POINT (1882803.8 5586230.9),1397
187,Waipawa River at Fletchers Crossing_gaugings,191,18,112786.56,8164387,1397,0,31,24,179,1,POINT (1882803.8 5586230.9),1397
188,Waipawa River at Main Trans. Line Xing,192,13,214099.2,8168547,1613,0,48,53,225,2,POINT (1897515.7 5578028.7),1613
189,Waipawa River at RDS/SH2,193,53,435888.0,8169345,1629,0,55,62,227,1,POINT (1905322.5 5572225.8),1629
190,Waipawa River at RDS/SH2_gaugings,194,53,435888.0,8169345,1629,0,55,62,227,1,POINT (1905322.5 5572225.8),1629
191,Waipawa River at State Highway 50,195,66,272708.64,8165906,1581,0,40,48,218,8,POINT (1894735 5581845.8),1581
192,Waipawa River at State Highway 50_gaugings,196,66,272708.64,8165906,1581,0,40,48,218,8,POINT (1894735 5581845.8),1581
193,Waipawa River at Stewarts,197,41,331240.32000000007,8164853,1497,0,34,39,202,1,POINT (1890509.3 5584731.9),1497
194,Waipawa River at Stewarts_gaugings,198,41,331240.32000000007,8164853,1497,0,34,39,202,1,POINT (1890509.3 5584731.9),1497
195,Waipawa River at Stopbank Road No.1,199,5,212976.0,8168547,1619,0,51,56,225,8,POINT (1898917.1 5576127.6),1619
196,Waipawa River at Stopbank Road No.2,200,4,188092.8,8168547,1622,0,52,58,225,11,POINT (1899817.8 5575627.4),1622
197,Waipawa River at Stopbank Road No.3,201,2,72403.20000000001,8168547,1624,0,53,60,225,13,POINT (1900618.5 5575327.3),1624
198,Waipawa River at Worsnops,202,12,177033.6,8165906,1574,0,37,43,218,1,POINT (1892210.9 5583131.2),1574
